rank,homepage_url,num_funding_rounds,total_funding_usd,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,days_since_founding,days_since_last_funding,status_acquired,status_closed,status_ipo,status_operating,category_groups_list_Energy,category_groups_list_Sustainability,employee_count_1-10,employee_count_11-50,employee_count_51-100
2892920,1,0,0,1,1,0,0,0,1,5688.0,0.0,0,0,0,1,0,1,1,0,0
1637395,1,0,0,1,1,0,0,0,1,5720.0,0.0,0,0,0,1,0,1,1,0,0
2528781,1,0,0,1,0,0,0,0,1,6084.0,0.0,0,0,0,1,0,1,1,0,0
1361171,1,0,0,1,1,1,1,1,1,6449.0,0.0,0,1,0,0,1,0,1,0,0
1975159,1,0,0,1,1,0,0,0,1,5609.0,0.0,0,1,0,0,0,1,1,0,0
2453850,1,4,27195554,1,1,0,0,0,1,9736.0,4703.0,0,1,0,0,1,0,0,1,0
1306560,1,1,0,1,1,0,0,0,1,5811.0,5811.0,0,1,0,0,0,1,1,0,0
2976280,1,0,0,1,0,0,0,0,1,5858.0,0.0,0,1,0,0,0,1,1,0,0
1380231,1,1,0,1,0,1,0,1,1,5475.0,3143.0,0,1,0,0,0,1,1,0,0
2691968,1,0,0,1,0,0,0,0,1,5719.0,0.0,0,1,0,0,0,1,1,0,0
2650805,1,0,0,1,0,0,0,0,1,6084.0,0.0,0,1,0,0,0,1,1,0,0
2737702,1,0,0,1,0,0,0,1,1,5780.0,0.0,0,1,0,0,0,1,1,0,0
353635,1,0,0,1,1,0,1,0,1,11563.0,0.0,0,0,0,1,1,0,1,0,0
2028695,1,0,0,0,1,0,1,0,0,5202.0,0.0,0,0,0,1,1,0,0,1,0
104589,1,8,2942101,1,1,1,1,1,1,7180.0,1174.0,0,0,0,1,1,0,0,1,0
935365,1,2,0,0,0,0,1,0,1,6084.0,5152.0,1,0,0,0,1,0,1,0,0
255024,1,3,52000000,0,1,0,0,0,1,12293.0,4954.0,0,1,0,0,1,0,0,0,1
1216343,1,0,0,1,0,1,0,1,1,5303.0,0.0,0,1,0,0,0,1,1,0,0
454726,1,0,0,1,0,1,1,1,1,8794.0,0.0,0,0,0,1,0,1,1,0,0
1629271,1,0,0,0,0,0,0,0,1,0.0,0.0,0,1,0,0,0,1,0,1,0
46180,1,4,35888637,1,0,0,1,0,1,5719.0,1383.0,0,0,1,0,1,0,0,0,1
2279129,1,0,0,1,0,0,0,0,1,8275.0,0.0,0,1,0,0,1,0,0,1,0
2709663,1,0,0,1,0,1,0,1,1,0.0,0.0,0,0,0,1,0,1,1,0,0
17911,1,5,187566685,1,1,0,1,0,1,7180.0,330.0,0,0,0,1,1,0,0,1,0
